year,gas,value,unit,lat,station
1934,cc4f8,3.7769166666666665e-07,ppt,-40.6833,Cape Grim
1934,c4f10,3.192e-07,ppt,-40.6833,Cape Grim
1934,c5f12,2.6553333333333334e-07,ppt,-40.6833,Cape Grim
1934,c6f14,2.2781666666666667e-07,ppt,-40.6833,Cape Grim
1934,c7f16,1.9963333333333334e-07,ppt,-40.6833,Cape Grim
1935,cc4f8,2.5138333333333334e-06,ppt,-40.6833,Cape Grim
1935,c4f10,2.1138333333333334e-06,ppt,-40.6833,Cape Grim
1935,c5f12,1.748e-06,ppt,-40.6833,Cape Grim
1935,c6f14,1.4919166666666668e-06,ppt,-40.6833,Cape Grim
1935,c7f16,1.3009166666666666e-06,ppt,-40.6833,Cape Grim
1936,cc4f8,5.36125e-06,ppt,-40.6833,Cape Grim
1936,c4f10,4.507416666666667e-06,ppt,-40.6833,Cape Grim
1936,c5f12,3.7264166666666667e-06,ppt,-40.6833,Cape Grim
1936,c6f14,3.1772500000000004e-06,ppt,-40.6833,Cape Grim
1936,c7f16,2.7674166666666667e-06,ppt,-40.6833,Cape Grim
1937,cc4f8,8.29375e-06,ppt,-40.6833,Cape Grim
1937,c4f10,6.9705000000000004e-06,ppt,-40.6833,Cape Grim
1937,c5f12,5.761666666666667e-06,ppt,-40.6833,Cape Grim
1937,c6f14,4.910833333333333e-06,ppt,-40.6833,Cape Grim
1937,c7f16,4.280333333333333e-06,ppt,-40.6833,Cape Grim
1938,cc4f8,1.123425e-05,ppt,-40.6833,Cape Grim
1938,c4f10,9.442e-06,ppt,-40.6833,Cape Grim
1938,c5f12,7.804583333333333e-06,ppt,-40.6833,Cape Grim
1938,c6f14,6.650833333333333e-06,ppt,-40.6833,Cape Grim
1938,c7f16,5.7955e-06,ppt,-40.6833,Cape Grim
1939,cc4f8,1.41745e-05,ppt,-40.6833,Cape Grim
1939,c4f10,1.1913333333333333e-05,ppt,-40.6833,Cape Grim
1939,c5f12,9.846583333333333e-06,ppt,-40.6833,Cape Grim
1939,c6f14,8.390833333333333e-06,ppt,-40.6833,Cape Grim
1939,c7f16,7.312416666666667e-06,ppt,-40.6833,Cape Grim
1940,cc4f8,1.7114583333333334e-05,ppt,-40.6833,Cape Grim
1940,c4f10,1.4384166666666665e-05,ppt,-40.6833,Cape Grim
1940,c5f12,1.1888333333333333e-05,ppt,-40.6833,Cape Grim
1940,c6f14,1.0131166666666667e-05,ppt,-40.6833,Cape Grim
1940,c7f16,8.827e-06,ppt,-40.6833,Cape Grim
1941,cc4f8,2.0054250000000002e-05,ppt,-40.6833,Cape Grim
1941,c4f10,1.685416666666667e-05,ppt,-40.6833,Cape Grim
1941,c5f12,1.392975e-05,ppt,-40.6833,Cape Grim
1941,c6f14,1.1870416666666666e-05,ppt,-40.6833,Cape Grim
1941,c7f16,1.034225e-05,ppt,-40.6833,Cape Grim
1942,cc4f8,2.299275e-05,ppt,-40.6833,Cape Grim
1942,c4f10,1.9323666666666666e-05,ppt,-40.6833,Cape Grim
1942,c5f12,1.5970500000000002e-05,ppt,-40.6833,Cape Grim
1942,c6f14,1.3609333333333334e-05,ppt,-40.6833,Cape Grim
1942,c7f16,1.1856916666666667e-05,ppt,-40.6833,Cape Grim
1943,cc4f8,2.5930833333333333e-05,ppt,-40.6833,Cape Grim
1943,c4f10,2.1792500000000002e-05,ppt,-40.6833,Cape Grim
1943,c5f12,1.801075e-05,ppt,-40.6833,Cape Grim
1943,c6f14,1.5347833333333332e-05,ppt,-40.6833,Cape Grim
1943,c7f16,1.3371166666666667e-05,ppt,-40.6833,Cape Grim
1944,cc4f8,2.88685e-05,ppt,-40.6833,Cape Grim
1944,c4f10,2.4261333333333334e-05,ppt,-40.6833,Cape Grim
1944,c5f12,2.00505e-05,ppt,-40.6833,Cape Grim
1944,c6f14,1.7085916666666665e-05,ppt,-40.6833,Cape Grim
1944,c7f16,1.4885416666666667e-05,ppt,-40.6833,Cape Grim
1945,cc4f8,3.1805083333333335e-05,ppt,-40.6833,Cape Grim
1945,c4f10,2.6728999999999998e-05,ppt,-40.6833,Cape Grim
1945,c5f12,2.2090333333333334e-05,ppt,-40.6833,Cape Grim
1945,c6f14,1.8823583333333334e-05,ppt,-40.6833,Cape Grim
1945,c7f16,1.6399083333333334e-05,ppt,-40.6833,Cape Grim
1946,cc4f8,3.4741e-05,ppt,-40.6833,Cape Grim
1946,c4f10,2.919625e-05,ppt,-40.6833,Cape Grim
1946,c5f12,2.4129083333333332e-05,ppt,-40.6833,Cape Grim
1946,c6f14,2.056075e-05,ppt,-40.6833,Cape Grim
1946,c7f16,1.7912583333333335e-05,ppt,-40.6833,Cape Grim
1947,cc4f8,3.76765e-05,ppt,-40.6833,Cape Grim
1947,c4f10,3.1663166666666665e-05,ppt,-40.6833,Cape Grim
1947,c5f12,2.616741666666667e-05,ppt,-40.6833,Cape Grim
1947,c6f14,2.2297833333333335e-05,ppt,-40.6833,Cape Grim
1947,c7f16,1.942575e-05,ppt,-40.6833,Cape Grim
1948,cc4f8,4.061116666666667e-05,ppt,-40.6833,Cape Grim
1948,c4f10,3.41295e-05,ppt,-40.6833,Cape Grim
1948,c5f12,2.8205583333333333e-05,ppt,-40.6833,Cape Grim
1948,c6f14,2.403433333333333e-05,ppt,-40.6833,Cape Grim
1948,c7f16,2.0938333333333332e-05,ppt,-40.6833,Cape Grim
1949,cc4f8,4.3545166666666664e-05,ppt,-40.6833,Cape Grim
1949,c4f10,3.6595083333333335e-05,ppt,-40.6833,Cape Grim
1949,c5f12,3.0243083333333332e-05,ppt,-40.6833,Cape Grim
1949,c6f14,2.57705e-05,ppt,-40.6833,Cape Grim
1949,c7f16,2.2450750000000002e-05,ppt,-40.6833,Cape Grim
1950,cc4f8,4.64785e-05,ppt,-40.6833,Cape Grim
1950,c4f10,3.906008333333333e-05,ppt,-40.6833,Cape Grim
1950,c5f12,3.228025e-05,ppt,-40.6833,Cape Grim
1950,c6f14,2.7506249999999998e-05,ppt,-40.6833,Cape Grim
1950,c7f16,2.3962583333333333e-05,ppt,-40.6833,Cape Grim
1951,cc4f8,4.941116666666667e-05,ppt,-40.6833,Cape Grim
1951,c4f10,4.1524500000000005e-05,ppt,-40.6833,Cape Grim
1951,c5f12,3.4316833333333337e-05,ppt,-40.6833,Cape Grim
1951,c6f14,2.9241333333333334e-05,ppt,-40.6833,Cape Grim
1951,c7f16,2.5474416666666668e-05,ppt,-40.6833,Cape Grim
1952,cc4f8,5.234325e-05,ppt,-40.6833,Cape Grim
1952,c4f10,4.398858333333333e-05,ppt,-40.6833,Cape Grim
1952,c5f12,3.635275e-05,ppt,-40.6833,Cape Grim
1952,c6f14,3.097625e-05,ppt,-40.6833,Cape Grim
1952,c7f16,2.6985499999999998e-05,ppt,-40.6833,Cape Grim
1953,cc4f8,0.00023891775,ppt,-40.6833,Cape Grim
1953,c4f10,4.6451833333333335e-05,ppt,-40.6833,Cape Grim
1953,c5f12,3.838858333333333e-05,ppt,-40.6833,Cape Grim
1953,c6f14,3.271091666666667e-05,ppt,-40.6833,Cape Grim
1953,c7f16,2.849658333333333e-05,ppt,-40.6833,Cape Grim
1954,cc4f8,0.0015652866666666665,ppt,-40.6833,Cape Grim
1954,c4f10,4.8914416666666664e-05,ppt,-40.6833,Cape Grim
1954,c5f12,4.0423666666666664e-05,ppt,-40.6833,Cape Grim
1954,c6f14,3.4445e-05,ppt,-40.6833,Cape Grim
1954,c7f16,3.0007333333333333e-05,ppt,-40.6833,Cape Grim
1955,cc4f8,0.004705275,ppt,-40.6833,Cape Grim
1955,c4f10,5.1376583333333335e-05,ppt,-40.6833,Cape Grim
1955,c5f12,4.245833333333333e-05,ppt,-40.6833,Cape Grim
1955,c6f14,3.617875e-05,ppt,-40.6833,Cape Grim
1955,c7f16,5.0301666666666666e-05,ppt,-40.6833,Cape Grim
1956,cc4f8,0.009593233333333335,ppt,-40.6833,Cape Grim
1956,c4f10,5.383833333333333e-05,ppt,-40.6833,Cape Grim
1956,c5f12,4.4492499999999995e-05,ppt,-40.6833,Cape Grim
1956,c6f14,3.7912e-05,ppt,-40.6833,Cape Grim
1956,c7f16,0.00017977333333333334,ppt,-40.6833,Cape Grim
1957,cc4f8,0.01578925,ppt,-40.6833,Cape Grim
1957,c4f10,5.629941666666667e-05,ppt,-40.6833,Cape Grim
1957,c5f12,4.6526333333333336e-05,ppt,-40.6833,Cape Grim
1957,c6f14,3.964491666666667e-05,ppt,-40.6833,Cape Grim
1957,c7f16,0.0004746458333333334,ppt,-40.6833,Cape Grim
1958,cc4f8,0.022930500000000003,ppt,-40.6833,Cape Grim
1958,c4f10,5.876000000000001e-05,ppt,-40.6833,Cape Grim
1958,c5f12,4.855975e-05,ppt,-40.6833,Cape Grim
1958,c6f14,4.137716666666666e-05,ppt,-40.6833,Cape Grim
1958,c7f16,0.0009927275,ppt,-40.6833,Cape Grim
1959,cc4f8,0.030714083333333333,ppt,-40.6833,Cape Grim
1959,c4f10,6.121958333333334e-05,ppt,-40.6833,Cape Grim
1959,c5f12,5.0592333333333334e-05,ppt,-40.6833,Cape Grim
1959,c6f14,4.310933333333334e-05,ppt,-40.6833,Cape Grim
1959,c7f16,0.0015889916666666666,ppt,-40.6833,Cape Grim
1960,cc4f8,0.03888175,ppt,-40.6833,Cape Grim
1960,c4f10,6.3679e-05,ppt,-40.6833,Cape Grim
1960,c5f12,7.000683333333334e-05,ppt,-40.6833,Cape Grim
1960,c6f14,4.484116666666667e-05,ppt,-40.6833,Cape Grim
1960,c7f16,0.002194383333333333,ppt,-40.6833,Cape Grim
1961,cc4f8,0.04735291666666667,ppt,-40.6833,Cape Grim
1961,c4f10,6.613791666666667e-05,ppt,-40.6833,Cape Grim
1961,c5f12,0.00018593333333333334,ppt,-40.6833,Cape Grim
1961,c6f14,4.657241666666667e-05,ppt,-40.6833,Cape Grim
1961,c7f16,0.002800658333333333,ppt,-40.6833,Cape Grim
1962,cc4f8,0.05611758333333333,ppt,-40.6833,Cape Grim
1962,c4f10,6.859625e-05,ppt,-40.6833,Cape Grim
1962,c5f12,0.00040832166666666665,ppt,-40.6833,Cape Grim
1962,c6f14,4.830333333333333e-05,ppt,-40.6833,Cape Grim
1962,c7f16,0.0034091583333333334,ppt,-40.6833,Cape Grim
1963,cc4f8,0.06521116666666667,ppt,-40.6833,Cape Grim
1963,c4f10,7.105366666666667e-05,ppt,-40.6833,Cape Grim
1963,c5f12,0.0007192166666666667,ppt,-40.6833,Cape Grim
1963,c6f14,5.0033750000000005e-05,ppt,-40.6833,Cape Grim
1963,c7f16,0.004035675,ppt,-40.6833,Cape Grim
1964,cc4f8,0.07481091666666667,ppt,-40.6833,Cape Grim
1964,c4f10,7.351083333333333e-05,ppt,-40.6833,Cape Grim
1964,c5f12,0.0011151133333333334,ppt,-40.6833,Cape Grim
1964,c6f14,5.1763833333333334e-05,ppt,-40.6833,Cape Grim
1964,c7f16,0.004705824999999999,ppt,-40.6833,Cape Grim
1965,cc4f8,0.08498741666666666,ppt,-40.6833,Cape Grim
1965,c4f10,7.596733333333333e-05,ppt,-40.6833,Cape Grim
1965,c5f12,0.0016050666666666668,ppt,-40.6833,Cape Grim
1965,c6f14,7.077416666666666e-05,ppt,-40.6833,Cape Grim
1965,c7f16,0.0054130666666666665,ppt,-40.6833,Cape Grim
1966,cc4f8,0.09578541666666666,ppt,-40.6833,Cape Grim
1966,c4f10,7.842325e-05,ppt,-40.6833,Cape Grim
1966,c5f12,0.002184225,ppt,-40.6833,Cape Grim
1966,c6f14,0.00017278166666666667,ppt,-40.6833,Cape Grim
1966,c7f16,0.006131058333333334,ppt,-40.6833,Cape Grim
1967,cc4f8,0.1074575,ppt,-40.6833,Cape Grim
1967,c4f10,8.087866666666668e-05,ppt,-40.6833,Cape Grim
1967,c5f12,0.002860408333333333,ppt,-40.6833,Cape Grim
1967,c6f14,0.00030821916666666667,ppt,-40.6833,Cape Grim
1967,c7f16,0.00685015,ppt,-40.6833,Cape Grim
1968,cc4f8,0.12042666666666667,ppt,-40.6833,Cape Grim
1968,c4f10,8.333358333333333e-05,ppt,-40.6833,Cape Grim
1968,c5f12,0.0036405916666666666,ppt,-40.6833,Cape Grim
1968,c6f14,0.0004475891666666667,ppt,-40.6833,Cape Grim
1968,c7f16,0.007569233333333334,ppt,-40.6833,Cape Grim
1969,cc4f8,0.13484583333333333,ppt,-40.6833,Cape Grim
1969,c4f10,8.578783333333333e-05,ppt,-40.6833,Cape Grim
1969,c5f12,0.004537558333333333,ppt,-40.6833,Cape Grim
1969,c6f14,0.0005990958333333333,ppt,-40.6833,Cape Grim
1969,c7f16,0.00828815,ppt,-40.6833,Cape Grim
1970,cc4f8,0.15073166666666668,ppt,-40.6833,Cape Grim
1970,c4f10,0.00024255141666666667,ppt,-40.6833,Cape Grim
1970,c5f12,0.005556308333333333,ppt,-40.6833,Cape Grim
1970,c6f14,0.0008287616666666667,ppt,-40.6833,Cape Grim
1970,c7f16,0.009006908333333332,ppt,-40.6833,Cape Grim
1971,cc4f8,0.168085,ppt,-40.6833,Cape Grim
1971,c4f10,0.0012025025,ppt,-40.6833,Cape Grim
1971,c5f12,0.0066948749999999994,ppt,-40.6833,Cape Grim
1971,c6f14,0.0012075,ppt,-40.6833,Cape Grim
1971,c7f16,0.0097255,ppt,-40.6833,Cape Grim
1972,cc4f8,0.18690333333333334,ppt,-40.6833,Cape Grim
1972,c4f10,0.0028045916666666667,ppt,-40.6833,Cape Grim
1972,c5f12,0.007943475,ppt,-40.6833,Cape Grim
1972,c6f14,0.0017573916666666666,ppt,-40.6833,Cape Grim
1972,c7f16,0.010443916666666666,ppt,-40.6833,Cape Grim
1973,cc4f8,0.20719083333333332,ppt,-40.6833,Cape Grim
1973,c4f10,0.004815266666666667,ppt,-40.6833,Cape Grim
1973,c5f12,0.009309508333333332,ppt,-40.6833,Cape Grim
1973,c6f14,0.0024809333333333334,ppt,-40.6833,Cape Grim
1973,c7f16,0.01116225,ppt,-40.6833,Cape Grim
1974,cc4f8,0.22887333333333335,ppt,-40.6833,Cape Grim
1974,c4f10,0.00709835,ppt,-40.6833,Cape Grim
1974,c5f12,0.010799666666666666,ppt,-40.6833,Cape Grim
1974,c6f14,0.003382808333333333,ppt,-40.6833,Cape Grim
1974,c7f16,0.011880333333333333,ppt,-40.6833,Cape Grim
1975,cc4f8,0.25155583333333337,ppt,-40.6833,Cape Grim
1975,c4f10,0.009563674999999999,ppt,-40.6833,Cape Grim
1975,c5f12,0.012424583333333334,ppt,-40.6833,Cape Grim
1975,c6f14,0.004479116666666667,ppt,-40.6833,Cape Grim
1975,c7f16,0.012598333333333335,ppt,-40.6833,Cape Grim
1976,cc4f8,0.27495916666666664,ppt,-40.6833,Cape Grim
1976,c4f10,0.0122485,ppt,-40.6833,Cape Grim
1976,c5f12,0.014179333333333334,ppt,-40.6833,Cape Grim
1976,c6f14,0.005757666666666667,ppt,-40.6833,Cape Grim
1976,c7f16,0.013316,ppt,-40.6833,Cape Grim
1977,cc4f8,0.29920833333333335,ppt,-40.6833,Cape Grim
1977,c4f10,0.0151765,ppt,-40.6833,Cape Grim
1977,c5f12,0.016068916666666665,ppt,-40.6833,Cape Grim
1977,c6f14,0.007265458333333333,ppt,-40.6833,Cape Grim
1977,c7f16,0.014033499999999999,ppt,-40.6833,Cape Grim
1978,cc4f8,0.32454083333333333,ppt,-40.6833,Cape Grim
1978,c4f10,0.018350833333333334,ppt,-40.6833,Cape Grim
1978,c5f12,0.018096,ppt,-40.6833,Cape Grim
1978,c6f14,0.009258066666666667,ppt,-40.6833,Cape Grim
1978,c7f16,0.014751,ppt,-40.6833,Cape Grim
1979,cc4f8,0.35097666666666666,ppt,-40.6833,Cape Grim
1979,c4f10,0.021801666666666667,ppt,-40.6833,Cape Grim
1979,c5f12,0.020305416666666666,ppt,-40.6833,Cape Grim
1979,c6f14,0.011749,ppt,-40.6833,Cape Grim
1979,c7f16,0.015468166666666667,ppt,-40.6833,Cape Grim
1980,cc4f8,0.37829666666666667,ppt,-40.6833,Cape Grim
1980,c4f10,0.025666833333333333,ppt,-40.6833,Cape Grim
1980,c5f12,0.022715833333333334,ppt,-40.6833,Cape Grim
1980,c6f14,0.01442425,ppt,-40.6833,Cape Grim
1980,c7f16,0.016185416666666667,ppt,-40.6833,Cape Grim
1981,cc4f8,0.40667000000000003,ppt,-40.6833,Cape Grim
1981,c4f10,0.029946249999999997,ppt,-40.6833,Cape Grim
1981,c5f12,0.025330000000000002,ppt,-40.6833,Cape Grim
1981,c6f14,0.01716975,ppt,-40.6833,Cape Grim
1981,c7f16,0.0169545,ppt,-40.6833,Cape Grim
1982,cc4f8,0.4366658333333333,ppt,-40.6833,Cape Grim
1982,c4f10,0.0344905,ppt,-40.6833,Cape Grim
1982,c5f12,0.028147833333333334,ppt,-40.6833,Cape Grim
1982,c6f14,0.019948499999999997,ppt,-40.6833,Cape Grim
1982,c7f16,0.01802125,ppt,-40.6833,Cape Grim
1983,cc4f8,0.46886,ppt,-40.6833,Cape Grim
1983,c4f10,0.039241083333333336,ppt,-40.6833,Cape Grim
1983,c5f12,0.031169583333333334,ppt,-40.6833,Cape Grim
1983,c6f14,0.022753,ppt,-40.6833,Cape Grim
1983,c7f16,0.019454916666666665,ppt,-40.6833,Cape Grim
1984,cc4f8,0.5037366666666666,ppt,-40.6833,Cape Grim
1984,c4f10,0.044191,ppt,-40.6833,Cape Grim
1984,c5f12,0.034394916666666664,ppt,-40.6833,Cape Grim
1984,c6f14,0.025589249999999997,ppt,-40.6833,Cape Grim
1984,c7f16,0.021212083333333336,ppt,-40.6833,Cape Grim
1985,cc4f8,0.54213,ppt,-40.6833,Cape Grim
1985,c4f10,0.04933983333333333,ppt,-40.6833,Cape Grim
1985,c5f12,0.03784866666666666,ppt,-40.6833,Cape Grim
1985,c6f14,0.028464666666666666,ppt,-40.6833,Cape Grim
1985,c7f16,0.023317416666666663,ppt,-40.6833,Cape Grim
1986,cc4f8,0.5848508333333333,ppt,-40.6833,Cape Grim
1986,c4f10,0.05468641666666666,ppt,-40.6833,Cape Grim
1986,c5f12,0.041646499999999996,ppt,-40.6833,Cape Grim
1986,c6f14,0.031396,ppt,-40.6833,Cape Grim
1986,c7f16,0.025892916666666668,ppt,-40.6833,Cape Grim
1987,cc4f8,0.6314833333333333,ppt,-40.6833,Cape Grim
1987,c4f10,0.06023208333333333,ppt,-40.6833,Cape Grim
1987,c5f12,0.04580033333333333,ppt,-40.6833,Cape Grim
1987,c6f14,0.03434716666666667,ppt,-40.6833,Cape Grim
1987,c7f16,0.028633833333333334,ppt,-40.6833,Cape Grim
1988,cc4f8,0.6752658333333333,ppt,-40.6833,Cape Grim
1988,c4f10,0.06597599999999999,ppt,-40.6833,Cape Grim
1988,c5f12,0.05024108333333333,ppt,-40.6833,Cape Grim
1988,c6f14,0.03729991666666666,ppt,-40.6833,Cape Grim
1988,c7f16,0.031393583333333336,ppt,-40.6833,Cape Grim
1989,cc4f8,0.7125575,ppt,-40.6833,Cape Grim
1989,c4f10,0.07192816666666667,ppt,-40.6833,Cape Grim
1989,c5f12,0.0549405,ppt,-40.6833,Cape Grim
1989,c6f14,0.040252,ppt,-40.6833,Cape Grim
1989,c7f16,0.034155083333333336,ppt,-40.6833,Cape Grim
1990,cc4f8,0.7428675,ppt,-40.6833,Cape Grim
